"id","x","y","type"
1150,719674.531269,5407066.812206,"church"
1152,725359.144109,5406761.171668,"church"
1154,721928.061579,5405416.352420,"church"
1155,722134.715699,5401710.753639,"church"
1156,717259.677065,5401926.071358,"church"
1157,714238.926218,5401231.446434,"church"
1158,727715.629543,5402456.635541,"church"
1159,724246.112627,5403571.444809,"church"
1165,718072.761777,5406150.304488,"church"
1173,727005.608497,5415493.886579,"church"
1153,721184.656721,5414857.997689,"amenity"
1160,723985.073275,5412209.456259,"amenity"
1161,723524.725494,5411525.403602,"amenity"
1163,718040.324044,5406145.333088,"amenity"
1164,717893.942911,5406042.009038,"amenity"
1168,723962.534751,5412528.975044,"amenity"
1170,717104.338151,5413557.717190,"amenity"
1174,718395.502326,5405572.740533,"amenity"
1175,724450.027493,5402139.069413,"amenity"
1169,723986.997625,5412207.295947,"amenity"
1112,713463.387686,5409913.286459,"amenity"
1120,723948.097992,5412077.305471,"amenity"
1124,718386.842719,5406088.683524,"amenity"
1201,723746.2221000000,5424827.6290000000,supermarket
1202,709700.0877000000,5410369.0540000000,supermarket
1203,709838.2051000000,5410320.1830000000,supermarket
1204,709349.9017000000,5410795.4830000000,supermarket
1205,706815.8387000000,5398826.7890000000,supermarket
1206,715846.2768000000,5421485.5920000000,supermarket
1207,702406.3107000000,5410374.2480000000,supermarket
1208,702672.7821000000,5410204.0650000000,supermarket
