accessStopId;accessLinkId;egressStopId;egressLinkId;queryCount
106;-141762866;10;-112191692#1;6
106;-141762866;125;-126097591;12
106;-141762866;126;-125690144;6
106;-141762866;127;-127184740#0;12
106;-141762866;129;-27215278#1;12
106;-141762866;130;-484393119#0;12
106;-141762866;131;-52877097#0;18
106;-141762866;132;-430304266;6
106;-141762866;143;-266098846;6
106;-141762866;173;-37613338;6
106;-141762866;179;-28182683#0;6
106;-141762866;180;-27227523#1;12
106;-141762866;181;-548689753;12
106;-141762866;182;-367421977#0;6
106;-141762866;199;-89355289#0;6
106;-141762866;213;-497486409;6
106;-141762866;222;-367421944;12
106;-141762866;255;-373181456;6
106;-141762866;300;-88507457;12
106;-141762866;312;-89650896;12
106;-141762866;348;-551123157;6
106;-141762866;391;-180211473#0;6
106;-141762866;40;-28997388;18
106;-141762866;472;-59872773#1;6
106;-141762866;49;-355270871;12
106;-141762866;497;-51226915#0;6
106;-141762866;498;-974889671;6
106;-141762866;50;-297516973#1;6
106;-141762866;51;-509498379;6
106;-141762866;511;164833512#1;24
106;-141762866;517;-974889677#1;6
106;-141762866;519;-115843067#0;6
106;-141762866;52;-498029090;36
106;-141762866;529;-482530156;12
106;-141762866;549;-93799283;6
106;-141762866;556;-490673217;6
106;-141762866;559;-55356621;24
106;-141762866;58;-45026548;12
106;-141762866;59;-45026548;18
106;-141762866;678;-107602690#0;6
106;-141762866;692;-39207242#1;12
106;-141762866;694;-32702545;6
106;-141762866;709;-395860460#0;6
106;-141762866;73;-494998160;6
106;-141762866;80;-337954601#0;6
106;-141762866;800;-93772083#2;12
106;-141762866;817;-31963736;6
106;-141762866;82;-145393541;18
106;-141762866;839;-415306248;6
106;-141762866;840;-68543362;18
106;-141762866;865;-295732688;30
106;-141762866;92;-27091597#6;6
106;-141762866;922;-288903447#1;12
106;-141762866;924;-288903454;12
106;-141762866;931;365298401#0;6
106;-141762866;933;-155045708;6
106;-141762866;962;-144162287#2;6
107;-141762873#3;10;-112191692#1;5
107;-141762873#3;125;-126097591;10
107;-141762873#3;126;-125690144;5
107;-141762873#3;127;-127184740#0;10
107;-141762873#3;129;-27215278#1;10
107;-141762873#3;130;-484393119#0;10
107;-141762873#3;131;-52877097#0;15
107;-141762873#3;132;-430304266;5
107;-141762873#3;143;-266098846;5
107;-141762873#3;173;-37613338;5
107;-141762873#3;179;-28182683#0;5
107;-141762873#3;180;-27227523#1;10
107;-141762873#3;181;-548689753;10
107;-141762873#3;182;-367421977#0;5
107;-141762873#3;199;-89355289#0;5
107;-141762873#3;213;-497486409;5
107;-141762873#3;222;-367421944;10
107;-141762873#3;255;-373181456;5
107;-141762873#3;300;-88507457;10
107;-141762873#3;312;-89650896;10
107;-141762873#3;348;-551123157;5
107;-141762873#3;391;-180211473#0;5
107;-141762873#3;40;-28997388;15
107;-141762873#3;472;-59872773#1;5
107;-141762873#3;49;-355270871;10
107;-141762873#3;497;-51226915#0;5
107;-141762873#3;498;-974889671;5
107;-141762873#3;50;-297516973#1;5
107;-141762873#3;51;-509498379;5
107;-141762873#3;511;164833512#1;20
107;-141762873#3;517;-974889677#1;5
107;-141762873#3;519;-115843067#0;5
107;-141762873#3;52;-498029090;30
107;-141762873#3;529;-482530156;10
107;-141762873#3;549;-93799283;5
107;-141762873#3;556;-490673217;5
107;-141762873#3;559;-55356621;20
107;-141762873#3;58;-45026548;10
107;-141762873#3;59;-45026548;15
107;-141762873#3;678;-107602690#0;5
107;-141762873#3;692;-39207242#1;10
107;-141762873#3;694;-32702545;5
107;-141762873#3;709;-395860460#0;5
107;-141762873#3;73;-494998160;5
107;-141762873#3;80;-337954601#0;5
107;-141762873#3;800;-93772083#2;10
107;-141762873#3;817;-31963736;5
107;-141762873#3;82;-145393541;15
107;-141762873#3;839;-415306248;5
107;-141762873#3;840;-68543362;15
107;-141762873#3;865;-295732688;25
107;-141762873#3;92;-27091597#6;5
107;-141762873#3;922;-288903447#1;10
107;-141762873#3;924;-288903454;10
107;-141762873#3;931;365298401#0;5
107;-141762873#3;933;-155045708;5
107;-141762873#3;962;-144162287#2;5
108;-294937227#0;10;-112191692#1;8
108;-294937227#0;125;-126097591;16
108;-294937227#0;126;-125690144;8
108;-294937227#0;127;-127184740#0;16
108;-294937227#0;129;-27215278#1;16
108;-294937227#0;130;-484393119#0;16
108;-294937227#0;131;-52877097#0;24
108;-294937227#0;132;-430304266;8
108;-294937227#0;143;-266098846;8
108;-294937227#0;173;-37613338;8
108;-294937227#0;179;-28182683#0;8
108;-294937227#0;180;-27227523#1;16
108;-294937227#0;181;-548689753;16
108;-294937227#0;182;-367421977#0;8
108;-294937227#0;199;-89355289#0;8
108;-294937227#0;213;-497486409;8
108;-294937227#0;222;-367421944;16
108;-294937227#0;255;-373181456;8
108;-294937227#0;300;-88507457;16
108;-294937227#0;312;-89650896;16
108;-294937227#0;348;-551123157;8
108;-294937227#0;391;-180211473#0;8
108;-294937227#0;40;-28997388;24
108;-294937227#0;472;-59872773#1;8
108;-294937227#0;49;-355270871;16
108;-294937227#0;497;-51226915#0;8
108;-294937227#0;498;-974889671;8
108;-294937227#0;50;-297516973#1;8
108;-294937227#0;51;-509498379;8
108;-294937227#0;511;164833512#1;32
108;-294937227#0;517;-974889677#1;8
108;-294937227#0;519;-115843067#0;8
108;-294937227#0;52;-498029090;48
108;-294937227#0;529;-482530156;16
108;-294937227#0;549;-93799283;8
108;-294937227#0;556;-490673217;8
108;-294937227#0;559;-55356621;32
108;-294937227#0;58;-45026548;16
108;-294937227#0;59;-45026548;24
108;-294937227#0;678;-107602690#0;8
108;-294937227#0;692;-39207242#1;16
108;-294937227#0;694;-32702545;8
108;-294937227#0;709;-395860460#0;8
108;-294937227#0;73;-494998160;8
108;-294937227#0;80;-337954601#0;8
108;-294937227#0;800;-93772083#2;16
108;-294937227#0;817;-31963736;8
108;-294937227#0;82;-145393541;24
108;-294937227#0;839;-415306248;8
108;-294937227#0;840;-68543362;24
108;-294937227#0;865;-295732688;40
108;-294937227#0;92;-27091597#6;8
108;-294937227#0;922;-288903447#1;16
108;-294937227#0;924;-288903454;16
108;-294937227#0;931;365298401#0;8
108;-294937227#0;933;-155045708;8
108;-294937227#0;962;-144162287#2;8
109;-295989069#1;10;-112191692#1;13
109;-295989069#1;125;-126097591;26
109;-295989069#1;126;-125690144;13
109;-295989069#1;127;-127184740#0;26
109;-295989069#1;129;-27215278#1;26
109;-295989069#1;130;-484393119#0;26
109;-295989069#1;131;-52877097#0;39
109;-295989069#1;132;-430304266;13
109;-295989069#1;143;-266098846;13
109;-295989069#1;173;-37613338;13
109;-295989069#1;179;-28182683#0;13
109;-295989069#1;180;-27227523#1;26
109;-295989069#1;181;-548689753;26
109;-295989069#1;182;-367421977#0;13
109;-295989069#1;199;-89355289#0;13
109;-295989069#1;213;-497486409;13
109;-295989069#1;222;-367421944;26
109;-295989069#1;255;-373181456;13
109;-295989069#1;300;-88507457;26
109;-295989069#1;312;-89650896;26
109;-295989069#1;348;-551123157;13
109;-295989069#1;391;-180211473#0;13
109;-295989069#1;40;-28997388;39
109;-295989069#1;472;-59872773#1;13
109;-295989069#1;49;-355270871;26
109;-295989069#1;497;-51226915#0;13
109;-295989069#1;498;-974889671;13
109;-295989069#1;50;-297516973#1;13
109;-295989069#1;51;-509498379;13
109;-295989069#1;511;164833512#1;52
109;-295989069#1;517;-974889677#1;13
109;-295989069#1;519;-115843067#0;13
109;-295989069#1;52;-498029090;78
109;-295989069#1;529;-482530156;26
109;-295989069#1;549;-93799283;13
109;-295989069#1;556;-490673217;13
109;-295989069#1;559;-55356621;52
109;-295989069#1;58;-45026548;26
109;-295989069#1;59;-45026548;39
109;-295989069#1;678;-107602690#0;13
109;-295989069#1;692;-39207242#1;26
109;-295989069#1;694;-32702545;13
109;-295989069#1;709;-395860460#0;13
109;-295989069#1;73;-494998160;13
109;-295989069#1;80;-337954601#0;13
109;-295989069#1;800;-93772083#2;26
109;-295989069#1;817;-31963736;13
109;-295989069#1;82;-145393541;39
109;-295989069#1;839;-415306248;13
109;-295989069#1;840;-68543362;39
109;-295989069#1;865;-295732688;65
109;-295989069#1;92;-27091597#6;13
109;-295989069#1;922;-288903447#1;26
109;-295989069#1;924;-288903454;26
109;-295989069#1;931;365298401#0;13
109;-295989069#1;933;-155045708;13
109;-295989069#1;962;-144162287#2;13
11;-73884407;10;-112191692#1;14
11;-73884407;125;-126097591;28
11;-73884407;126;-125690144;14
11;-73884407;127;-127184740#0;28
11;-73884407;129;-27215278#1;28
11;-73884407;130;-484393119#0;28
11;-73884407;131;-52877097#0;42
11;-73884407;132;-430304266;14
11;-73884407;143;-266098846;14
11;-73884407;173;-37613338;14
11;-73884407;179;-28182683#0;14
11;-73884407;180;-27227523#1;28
11;-73884407;181;-548689753;28
11;-73884407;182;-367421977#0;14
11;-73884407;199;-89355289#0;14
11;-73884407;213;-497486409;14
11;-73884407;222;-367421944;28
11;-73884407;255;-373181456;14
11;-73884407;300;-88507457;28
11;-73884407;312;-89650896;28
11;-73884407;348;-551123157;14
11;-73884407;391;-180211473#0;14
11;-73884407;40;-28997388;42
11;-73884407;472;-59872773#1;14
11;-73884407;49;-355270871;28
11;-73884407;497;-51226915#0;14
11;-73884407;498;-974889671;14
11;-73884407;50;-297516973#1;14
11;-73884407;51;-509498379;14
11;-73884407;511;164833512#1;56
11;-73884407;517;-974889677#1;14
11;-73884407;519;-115843067#0;14
11;-73884407;52;-498029090;84
11;-73884407;529;-482530156;28
11;-73884407;549;-93799283;14
11;-73884407;556;-490673217;14
11;-73884407;559;-55356621;56
11;-73884407;58;-45026548;28
